Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102
The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21
The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51
The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102
The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21
The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52
The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103
The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50
The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101
The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20
The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50
The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101
The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20
The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51
The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102
The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21
The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51
The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102
The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21,The ONE Thing,Gary Keller,"-11,2",11.21
The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52,The Compound Effect,Darren Hardy,"-11,39393939",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-11,58787879",23.52
The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38,The Miracle Morning,Hal Elrod,"-11,78181818",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,97575758",12.103
The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22,The ONE Thing,Gary Keller,"-12,16969697",11.22
The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52,The Compound Effect,Darren Hardy,"-12,36363636",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-12,55757576",23.52
The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38,The Miracle Morning,Hal Elrod,"-12,75151515",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-12,94545455",12.103
The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22,The ONE Thing,Gary Keller,"-13,13939394",11.22
The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53,The Compound Effect,Darren Hardy,"-13,33333333",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-13,52727273",23.53
The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39,The Miracle Morning,Hal Elrod,"-13,72121212",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-13,91515152",12.104
The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51,The Compound Effect,Darren Hardy,"-14,10909091",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-14,3030303",23.51
The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37,The Miracle Morning,Hal Elrod,"-14,4969697",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-14,69090909",12.102
The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21,The ONE Thing,Gary Keller,"-14,88484848",11.21
The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51,The Compound Effect,Darren Hardy,"-15,07878788",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-15,27272727",23.51
The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37,The Miracle Morning,Hal Elrod,"-15,46666667",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-15,66060606",12.102
The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21,The ONE Thing,Gary Keller,"-15,85454545",11.21
The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52,The Compound Effect,Darren Hardy,"-16,04848485",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-16,24242424",23.52
The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38,The Miracle Morning,Hal Elrod,"-16,43636364",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-16,63030303",12.103
The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22,The ONE Thing,Gary Keller,"-16,82424242",11.22
The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52,The Compound Effect,Darren Hardy,"-17,01818182",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-17,21212121",23.52
The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38,The Miracle Morning,Hal Elrod,"-17,40606061",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-17,6",12.103
The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22,The ONE Thing,Gary Keller,"-17,79393939",11.22
The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53,The Compound Effect,Darren Hardy,"-17,98787879",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-18,18181818",23.53
The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39,The Miracle Morning,Hal Elrod,"-18,37575758",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-18,56969697",12.104
The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23,The ONE Thing,Gary Keller,"-18,76363636",11.23
The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53,The Compound Effect,Darren Hardy,"-18,95757576",9.53
The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53,The 7 Habits of Highly Effective People,Stephen R. Covey,"-19,15151515",23.53
The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39,The Miracle Morning,Hal Elrod,"-19,34545455",21.39
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-19,53939394",12.104
The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23,The ONE Thing,Gary Keller,"-19,73333333",11.23
The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54,The Compound Effect,Darren Hardy,"-19,92727273",9.54
The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,12121212",23.54
The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40,The Miracle Morning,Hal Elrod,"-20,31515152",21.40
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-20,50909091",12.105
The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52,The Compound Effect,Darren Hardy,"-20,7030303",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-20,8969697",23.52
The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38,The Miracle Morning,Hal Elrod,"-21,09090909",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-21,28484848",12.103
The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22,The ONE Thing,Gary Keller,"-21,47878788",11.22
The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52,The Compound Effect,Darren Hardy,"-21,67272727",9.52
